X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-13.7146,1.74534,9.79815,1.1047,-0.662254,-4.92283,9.79815,1.1083,-8.98666,9.90141,9.79815,1.1119,-13.1079,-11.0428,9.79815,1.1155,13.4568,-1.49641,9.79815,1.1191
-13.7144,1.74531,9.79815,1.1048,-0.662253,-4.92283,9.79815,1.1084,-8.98651,9.90125,9.79815,1.112,-13.1077,-11.0426,9.79815,1.1156,13.4566,-1.49639,9.79815,1.1192
-13.7142,1.74528,9.79815,1.1049,-0.662252,-4.92282,9.79815,1.1085,-8.98637,9.90108,9.79815,1.1121,-13.1075,-11.0424,9.79815,1.1157,13.4564,-1.49636,9.79815,1.1193
-13.7139,1.74525,9.79815,1.105,-0.662251,-4.92282,9.79815,1.1086,-8.98622,9.90092,9.79815,1.1122,-13.1072,-11.0422,9.79815,1.1158,13.4561,-1.49634,9.79815,1.1194
-13.7137,1.74522,9.79815,1.1051,-0.662251,-4.92281,9.79815,1.1087,-8.98607,9.90076,9.79815,1.1123,-13.107,-11.042,9.79815,1.1159,13.4559,-1.49631,9.79815,1.1195
-13.7135,1.74519,9.79815,1.1052,-0.66225,-4.92281,9.79815,1.1088,-8.98592,9.9006,9.79815,1.1124,-13.1067,-11.0418,9.79815,1.116,13.4557,-1.49629,9.79815,1.1196
-13.7133,1.74516,9.79815,1.1053,-0.662249,-4.9228,9.79815,1.1089,-8.98577,9.90044,9.79815,1.1125,-13.1065,-11.0416,9.79815,1.1161,13.4555,-1.49626,9.79815,1.1197
-13.713,1.74513,9.79815,1.1054,-0.662248,-4.9228,9.79815,1.109,-8.98563,9.90028,9.79815,1.1126,-13.1063,-11.0414,9.79815,1.1162,13.4553,-1.49624,9.79815,1.1198
-13.7128,1.7451,9.79815,1.1055,-0.662248,-4.92279,9.79815,1.1091,-8.98548,9.90011,9.79815,1.1127,-13.106,-11.0412,9.79815,1.1163,13.455,-1.49622,9.79815,1.1199
-13.7126,1.74507,9.79815,1.1056,-0.662247,-4.92279,9.79815,1.1092,-8.98533,9.89995,9.79815,1.1128,-13.1058,-11.041,9.79815,1.1164,13.4548,-1.49619,9.79815,1.12
-13.7123,1.74504,9.79815,1.1057,-0.662246,-4.92278,9.79815,1.1093,-8.98518,9.89979,9.79815,1.1129,-13.1055,-11.0408,9.79815,1.1165,13.4546,-1.49617,9.79815,1.1201
-13.7121,1.74501,9.79815,1.1058,-0.662246,-4.92278,9.79815,1.1094,-8.98504,9.89963,9.79815,1.113,-13.1053,-11.0406,9.79815,1.1166,13.4544,-1.49614,9.79815,1.1202
-13.7119,1.74498,9.79815,1.1059,-0.662245,-4.92277,9.79815,1.1095,-8.98489,9.89947,9.79815,1.1131,-13.1051,-11.0404,9.79815,1.1167,13.4541,-1.49612,9.79815,1.1203
-13.7117,1.74495,9.79815,1.106,-0.662244,-4.92277,9.79815,1.1096,-8.98474,9.8993,9.79815,1.1132,-13.1048,-11.0402,9.79815,1.1168,13.4539,-1.49609,9.79815,1.1204
-13.7114,1.74492,9.79815,1.1061,-0.662243,-4.92276,9.79815,1.1097,-8.98459,9.89914,9.79815,1.1133,-13.1046,-11.04,9.79815,1.1169,13.4537,-1.49607,9.79815,1.1205
-13.7112,1.74489,9.79815,1.1062,-0.662243,-4.92276,9.79815,1.1098,-8.98445,9.89898,9.79815,1.1134,-13.1043,-11.0398,9.79815,1.117,13.4535,-1.49604,9.79815,1.1206
-13.711,1.74486,9.79815,1.1063,-0.662242,-4.92275,9.79815,1.1099,-8.9843,9.89882,9.79815,1.1135,-13.1041,-11.0395,9.79815,1.1171,13.4533,-1.49602,9.79815,1.1207
-13.7107,1.74483,9.79815,1.1064,-0.662241,-4.92274,9.79815,1.11,-8.98415,9.89866,9.79815,1.1136,-13.1039,-11.0393,9.79815,1.1172,13.453,-1.49599,9.79815,1.1208
-13.7105,1.7448,9.79815,1.1065,-0.662241,-4.92274,9.79815,1.1101,-8.984,9.8985,9.79815,1.1137,-13.1036,-11.0391,9.79815,1.1173,13.4528,-1.49597,9.79815,1.1209
