X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-16.599,2.11563,9.72353,0.0108,-0.671305,-4.99004,9.72353,0.0144,-10.8465,11.9455,9.72353,0.018,-16.14,-13.5971,9.72353,0.0216,16.258,-1.80791,9.72353,0.0252
-16.5987,2.1156,9.71772,0.0109,-0.671304,-4.99003,9.71772,0.0145,-10.8464,11.9453,9.71772,0.0181,-16.1397,-13.5968,9.71772,0.0217,16.2577,-1.80788,9.71772,0.0253
-16.5984,2.11556,9.7131,0.011,-0.671304,-4.99002,9.7131,0.0146,-10.8462,11.9451,9.7131,0.0182,-16.1394,-13.5965,9.7131,0.0218,16.2574,-1.80785,9.7131,0.0254
-16.5981,2.11552,9.70966,0.0111,-0.671303,-4.99002,9.70966,0.0147,-10.846,11.9449,9.70966,0.0183,-16.139,-13.5963,9.70966,0.0219,16.2571,-1.80782,9.70966,0.0255
-16.5978,2.11548,9.70741,0.0112,-0.671302,-4.99001,9.70741,0.0148,-10.8458,11.9447,9.70741,0.0184,-16.1387,-13.596,9.70741,0.022,16.2568,-1.80778,9.70741,0.0256
-16.5975,2.11544,9.70633,0.0113,-0.671301,-4.99,9.70633,0.0149,-10.8456,11.9445,9.70633,0.0185,-16.1384,-13.5957,9.70633,0.0221,16.2566,-1.80775,9.70633,0.0257
-16.5972,2.1154,9.70638,0.0114,-0.6713,-4.99,9.70638,0.015,-10.8454,11.9443,9.70638,0.0186,-16.1381,-13.5955,9.70638,0.0222,16.2563,-1.80772,9.70638,0.0258
-16.5969,2.11537,9.70752,0.0115,-0.671299,-4.98999,9.70752,0.0151,-10.8452,11.944,9.70752,0.0187,-16.1378,-13.5952,9.70752,0.0223,16.256,-1.80769,9.70752,0.0259
-16.5966,2.11533,9.7097,0.0116,-0.671298,-4.98998,9.7097,0.0152,-10.845,11.9438,9.7097,0.0188,-16.1375,-13.5949,9.7097,0.0224,16.2557,-1.80765,9.7097,0.026
-16.5963,2.11529,9.71285,0.0117,-0.671297,-4.98997,9.71285,0.0153,-10.8448,11.9436,9.71285,0.0189,-16.1371,-13.5947,9.71285,0.0225,16.2554,-1.80762,9.71285,0.0261
-16.596,2.11525,9.71689,0.0118,-0.671296,-4.98997,9.71689,0.0154,-10.8446,11.9434,9.71689,0.019,-16.1368,-13.5944,9.71689,0.0226,16.2551,-1.80759,9.71689,0.0262
-16.5957,2.11521,9.72174,0.0119,-0.671295,-4.98996,9.72174,0.0155,-10.8444,11.9432,9.72174,0.0191,-16.1365,-13.5941,9.72174,0.0227,16.2548,-1.80756,9.72174,0.0263
-16.5954,2.11517,9.72731,0.012,-0.671294,-4.98995,9.72731,0.0156,-10.8442,11.943,9.72731,0.0192,-16.1362,-13.5939,9.72731,0.0228,16.2545,-1.80752,9.72731,0.0264
-16.5951,2.11513,9.73352,0.0121,-0.671293,-4.98995,9.73352,0.0157,-10.844,11.9428,9.73352,0.0193,-16.1359,-13.5936,9.73352,0.0229,16.2542,-1.80749,9.73352,0.0265
-16.5948,2.1151,9.74025,0.0122,-0.671292,-4.98994,9.74025,0.0158,-10.8438,11.9426,9.74025,0.0194,-16.1356,-13.5933,9.74025,0.023,16.2539,-1.80746,9.74025,0.0266
-16.5945,2.11506,9.74742,0.0123,-0.671291,-4.98993,9.74742,0.0159,-10.8436,11.9423,9.74742,0.0195,-16.1352,-13.5931,9.74742,0.0231,16.2536,-1.80743,9.74742,0.0267
-16.5942,2.11502,9.75491,0.0124,-0.67129,-4.98992,9.75491,0.016,-10.8435,11.9421,9.75491,0.0196,-16.1349,-13.5928,9.75491,0.0232,16.2533,-1.80739,9.75491,0.0268
-16.5939,2.11498,9.76263,0.0125,-0.671289,-4.98992,9.76263,0.0161,-10.8433,11.9419,9.76263,0.0197,-16.1346,-13.5925,9.76263,0.0233,16.253,-1.80736,9.76263,0.0269
-16.5936,2.11494,9.77048,0.0126,-0.671288,-4.98991,9.77048,0.0162,-10.8431,11.9417,9.77048,0.0198,-16.1343,-13.5923,9.77048,0.0234,16.2528,-1.80733,9.77048,0.027
